Time,Fix,Sats,Flags,Baro Pressure,Baro altitude,GPS altitude,Speed (MPH),Heading,Horiz accuracy,Vertical accuracy,pDOP,Latitude,Longitude,Int_Temp F,battery_v
12:23:37,3,7,3,836.6,5205,5224,0,0,11,14,1.93,39.608211,-104.041446,59.4,8.2
12:23:38,3,7,3,836.6,5204,5223,0,0,11,13,1.93,39.608214,-104.041446,59.4,8.2
12:23:39,3,7,3,836.6,5205,5223,0,0,10,13,1.93,39.608214,-104.041446,59.4,8.2
12:23:40,3,7,3,836.6,5205,5223,0,0,10,13,1.93,39.608211,-104.041453,59.5,8.2
12:23:41,3,7,3,836.5,5206,5221,0,0,10,13,1.93,39.608214,-104.041459,59.5,8.2
12:23:42,3,7,3,836.6,5205,5221,1,0,9,13,1.93,39.608218,-104.041453,59.5,8.2
12:23:43,3,7,3,836.5,5207,5220,0,0,9,13,1.93,39.608221,-104.041453,59.5,8.2
12:23:44,3,7,3,836.6,5203,5221,0,0,10,13,1.93,39.608221,-104.041453,59.5,8.2
12:23:45,3,7,3,836.5,5207,5221,0,0,10,13,1.93,39.608221,-104.041453,59.6,8.2
12:23:46,3,7,3,836.4,5209,5220,1,0,10,13,1.93,39.608221,-104.041453,59.6,8.2
12:23:47,3,7,3,836.6,5205,5220,0,0,10,14,1.93,39.608218,-104.041453,59.6,8.0
12:23:48,3,7,3,836.4,5210,5221,0,0,11,14,1.93,39.608221,-104.041453,59.6,8.0
12:23:49,3,7,3,836.4,5210,5223,0,0,11,15,1.93,39.608218,-104.041453,59.6,8.0
12:23:50,3,7,3,836.6,5204,5225,0,0,12,15,1.93,39.608221,-104.041453,59.7,8.0
12:23:51,3,7,3,836.4,5210,5226,0,0,13,16,1.93,39.608218,-104.041453,59.7,7.9
12:23:52,3,7,3,836.4,5210,5227,0,0,13,16,1.93,39.608218,-104.041453,59.7,7.9
12:23:53,3,7,3,836.4,5211,5228,0,0,14,17,1.93,39.608214,-104.041453,59.7,8.0
12:23:54,3,7,3,836.3,5212,5231,0,0,14,17,1.93,39.608211,-104.041453,59.8,8.0
12:23:55,3,7,3,836.4,5210,5233,0,0,15,18,1.93,39.608211,-104.041453,59.8,7.9
