Time,Fix,Sats,Flags,Baro Pressure,Baro altitude,GPS altitude,Speed (MPH),Heading,Horiz accuracy,Vertical accuracy,pDOP,Latitude,Longitude,Int Temp F,battery V
12:48:37,3,10,3,836.2,5215.8,5186.5,0,28,9,17,1.71,39.608336,-104.041568,60.5,8.2
12:48:38,3,10,3,836.2,5217.1,5186.7,0,28,9,17,1.71,39.608336,-104.041568,60.5,8.2
12:48:39,3,10,3,836.2,5216.7,5187.0,0,28,9,17,1.71,39.608336,-104.041568,60.6,8.2
12:48:40,3,10,3,836.2,5216.9,5188.4,0,28,9,17,1.71,39.608336,-104.041568,60.6,8.2
12:48:41,3,10,3,836.2,5216.3,5190.1,0,28,9,16,1.71,39.608336,-104.041568,60.6,8.2
12:48:42,3,10,3,836.2,5215.6,5191.3,0,28,9,16,1.71,39.608336,-104.041568,60.6,8.2
12:48:43,3,10,3,836.2,5217.8,5192.1,0,28,8,16,1.71,39.608336,-104.041568,60.6,8.2
12:48:44,3,10,3,836.2,5216.7,5192.9,0,28,8,16,1.71,39.608336,-104.041568,60.6,8.2
12:48:45,3,10,3,836.2,5216.0,5194.0,0,28,8,16,1.71,39.608339,-104.041574,60.7,8.2
12:48:46,3,10,3,836.2,5216.4,5195.1,0,28,9,17,1.71,39.608339,-104.041574,60.7,8.2
12:48:47,3,10,3,836.2,5216.2,5196.1,0,28,8,16,1.71,39.608339,-104.041574,60.7,8.2
12:48:48,3,10,3,836.2,5216.4,5196.4,0,28,8,16,1.71,39.608339,-104.041574,60.7,8.2
12:48:49,3,10,3,836.2,5216.1,5197.3,0,28,8,16,1.71,39.608339,-104.041574,60.7,8.2
12:48:50,3,10,3,836.2,5216.2,5197.5,0,28,8,16,1.71,39.608339,-104.041574,60.7,8.2
12:48:51,3,10,3,836.2,5216.3,5197.8,0,28,8,16,1.71,39.608339,-104.041574,60.7,8.2
12:48:52,3,10,3,836.2,5215.7,5197.8,0,28,8,16,1.71,39.608339,-104.041574,60.8,8.2
12:48:53,3,10,3,836.2,5216.6,5197.9,0,28,8,17,1.71,39.608339,-104.041574,60.8,8.2
12:48:54,3,10,3,836.1,5218.4,5198.1,0,28,8,17,1.71,39.608339,-104.041574,60.8,8.2
12:48:55,3,10,3,836.2,5216.7,5198.9,0,28,8,17,1.71,39.608339,-104.041574,60.8,8.2
12:48:56,3,10,3,836.1,5218.1,5199.0,0,28,8,17,1.71,39.608339,-104.041574,60.8,8.2
12:48:57,3,10,3,836.2,5215.6,5199.4,0,28,8,17,1.71,39.608339,-104.041574,60.8,8.2
12:48:58,3,10,3,836.2,5216.7,5199.9,0,28,8,17,1.71,39.608339,-104.041574,60.9,8.2
12:48:59,3,10,3,836.1,5218.0,5200.1,0,28,8,17,1.71,39.608339,-104.041574,60.9,8.2
12:49:00,3,10,3,836.2,5216.8,5201.1,0,28,8,17,1.71,39.608339,-104.041574,60.9,8.2
12:49:01,3,10,3,836.1,5219.7,5201.1,0,28,8,18,1.71,39.608339,-104.041574,60.9,8.2
12:49:02,3,10,3,836.1,5218.1,5201.2,0,28,8,18,1.71,39.608339,-104.041574,60.9,8.2
12:49:03,3,10,3,836.2,5217.7,5201.9,0,28,8,18,1.71,39.608339,-104.041574,60.9,8.1
12:49:04,3,10,3,836.1,5219.2,5202.1,0,28,9,18,1.71,39.608339,-104.041574,60.9,8.1
12:49:05,3,10,3,836.2,5217.1,5202.4,0,28,9,18,1.71,39.608339,-104.041574,61,8.1
12:49:06,3,10,3,836.2,5217.8,5202.4,0,28,9,18,1.71,39.608342,-104.041574,61,8.1
12:49:07,3,10,3,836.1,5218.5,5202.6,0,28,9,19,1.71,39.608342,-104.041574,61,8.2
12:49:08,3,10,3,836.1,5218.8,5203.3,0,28,9,19,1.71,39.608342,-104.041574,61,8.2
12:49:09,3,10,3,836.1,5219.7,5203.5,0,28,9,19,1.71,39.608342,-104.041574,61.1,8.1
12:49:10,3,10,3,836.1,5219.9,5203.1,0,28,9,19,1.71,39.608342,-104.041574,61.1,8.1
12:49:11,3,10,3,836.1,5218.9,5203.4,0,28,9,19,1.71,39.608342,-104.041574,61.1,8.1
12:49:12,3,10,3,836.1,5219.4,5203.4,0,28,9,20,1.71,39.608342,-104.041574,61.2,8.1
12:49:13,3,10,3,836.1,5218.8,5203.9,0,28,10,20,1.71,39.608342,-104.041574,61.2,8.1
12:49:14,3,10,3,836.1,5218.9,5203.2,0,28,10,20,1.71,39.608342,-104.041568,61.3,8.1
12:49:15,3,10,3,836.2,5217.9,5203.3,0,28,10,20,1.71,39.608342,-104.041568,61.3,8.1
12:49:16,3,10,3,836.1,5219.1,5203.5,0,28,10,20,1.71,39.608342,-104.041568,61.3,8.1
12:49:17,3,10,3,836.1,5218.7,5203.4,0,28,10,20,1.71,39.608342,-104.041568,61.3,8.1
12:49:18,3,10,3,836.1,5220.1,5202.9,0,28,10,20,1.71,39.608342,-104.041568,61.4,8.1
12:49:19,3,10,3,836.1,5218.7,5202.5,0,28,10,20,1.71,39.608342,-104.041568,61.4,8.1
12:49:20,3,10,3,836.1,5218.5,5203.0,0,28,10,20,1.71,39.608342,-104.041562,61.4,8.1
12:49:21,3,10,3,836.1,5219.4,5203.6,0,28,10,19,1.71,39.608342,-104.041562,61.4,8.1
12:49:22,3,10,3,836.1,5218.2,5204.4,0,28,9,19,1.71,39.608342,-104.041568,61.5,8.1
12:49:23,3,10,3,836.1,5220.7,5204.0,0,28,9,19,1.71,39.608342,-104.041562,61.5,8.1
12:49:24,3,10,3,836.1,5219.4,5205.0,0,28,9,19,1.71,39.608339,-104.041562,61.5,8.1
12:49:25,3,10,3,836.1,5219.1,5205.5,0,28,9,19,1.71,39.608339,-104.041562,61.6,8.1
12:49:26,3,10,3,836.1,5218.7,5206.0,0,28,9,19,1.71,39.608339,-104.041562,61.6,8.1
12:49:27,3,10,3,836.2,5217.6,5206.1,0,28,9,19,1.71,39.608339,-104.041562,61.6,8.1
12:49:28,3,10,3,836.2,5216.6,5206.2,0,28,9,19,1.71,39.608339,-104.041562,61.6,8.1
12:49:29,3,10,3,836.2,5216.5,5206.9,0,28,9,18,1.71,39.608339,-104.041562,61.6,8.2
12:49:30,3,10,3,836.2,5217.4,5207.5,0,28,9,18,1.71,39.608339,-104.041562,61.6,8.2
12:49:31,3,10,3,836.1,5219.3,5207.8,0,28,9,18,1.71,39.608342,-104.041562,61.6,8.2
12:49:32,3,10,3,836.2,5217.4,5207.9,0,28,9,18,1.71,39.608342,-104.041562,61.6,8.2
12:49:33,3,10,3,836.2,5216.2,5208.7,0,28,9,17,1.71,39.608342,-104.041562,61.6,8.1
12:49:34,3,10,3,836.2,5217.4,5209.8,0,28,9,17,1.71,39.608342,-104.041562,61.7,8.1
12:49:35,3,10,3,836.2,5216.6,5210.1,0,28,9,17,1.71,39.608342,-104.041562,61.7,8.2
12:49:36,3,10,3,836.1,5218.0,5211.2,0,28,8,16,1.71,39.608339,-104.041555,61.7,8.2
12:49:37,3,10,3,836.2,5216.5,5212.6,0,28,7,16,1.71,39.608336,-104.041555,61.7,8.2
12:49:38,3,9,3,836.2,5217.0,5212.7,0,28,7,15,1.93,39.608336,-104.041555,61.7,8.2
12:49:39,3,9,3,836.2,5216.3,5212.8,0,28,7,15,1.93,39.608336,-104.041555,61.7,8.2
12:49:40,3,9,3,836.2,5216.1,5212.4,0,28,7,15,1.93,39.608336,-104.041555,61.7,8.2
12:49:41,3,9,3,836.1,5218.1,5211.6,0,28,7,16,1.93,39.608336,-104.041555,61.7,8.2
12:49:42,3,9,3,836.2,5216.9,5211.5,0,28,7,16,1.93,39.608336,-104.041555,61.7,8.2
12:49:43,3,10,3,836.2,5215.9,5211.4,0,28,7,16,1.71,39.608336,-104.041555,61.7,8.2
12:49:44,3,10,3,836.2,5216.2,5211.2,0,28,7,16,1.71,39.608336,-104.041555,61.7,8.2
12:49:45,3,10,3,836.1,5218.1,5211.6,0,28,7,15,1.71,39.608333,-104.041555,61.7,8.2
12:49:46,3,9,3,836.2,5217.4,5211.4,0,28,7,15,1.93,39.608333,-104.041555,61.8,8.2
12:49:47,3,10,3,836.2,5217.2,5211.8,0,28,7,15,1.71,39.608333,-104.041555,61.8,8.2
12:49:48,3,10,3,836.2,5216.7,5211.1,0,28,7,15,1.71,39.608333,-104.041549,61.8,8.2
12:49:49,3,10,3,836.2,5217.0,5210.8,0,28,7,15,1.71,39.608333,-104.041549,61.8,8.2
12:49:50,3,10,3,836.2,5217.0,5211.0,0,28,7,15,1.71,39.60833,-104.041549,61.8,8.2
12:49:51,3,10,3,836.2,5216.8,5212.4,0,28,7,15,1.71,39.60833,-104.041549,61.8,8.2
12:49:52,3,10,3,836.2,5217.5,5212.1,0,28,7,15,1.71,39.608333,-104.041549,61.8,8.2
12:49:53,3,10,3,836.2,5216.4,5212.1,0,28,7,15,1.71,39.608333,-104.041549,61.8,8.2
12:49:54,3,10,3,836.2,5217.7,5212.4,0,28,7,15,1.71,39.608333,-104.041549,61.8,8.2
12:49:55,3,10,3,836.2,5217.8,5212.3,0,28,7,15,1.71,39.608333,-104.041549,61.8,8.2
12:49:56,3,10,3,836.2,5216.6,5212.4,0,28,7,15,1.71,39.60833,-104.041549,61.8,8.2
12:49:57,3,10,3,836.2,5217.7,5212.1,0,28,7,15,1.71,39.60833,-104.041549,61.8,8.2
12:49:58,3,10,3,836.2,5217.5,5211.8,0,28,7,15,1.71,39.608333,-104.041549,61.8,8.2
12:49:59,3,10,3,836.2,5217.9,5211.6,0,28,7,15,1.72,39.608333,-104.041549,61.8,8.2
12:50:00,3,10,3,836.1,5218.6,5211.8,0,28,7,15,1.72,39.608333,-104.041549,61.8,8.2
12:50:01,3,10,3,836.1,5218.9,5211.3,0,28,7,15,1.72,39.608333,-104.041549,61.8,8.2
12:50:02,3,10,3,836.1,5218.5,5210.8,0,28,7,15,1.72,39.608333,-104.041549,61.8,8.2
12:50:03,3,10,3,836.1,5219.3,5209.6,0,28,7,15,1.72,39.608333,-104.041549,61.9,8.1
12:50:04,3,10,3,836.1,5219.0,5208.5,0,28,7,15,1.72,39.608333,-104.041555,61.9,8.1
12:50:05,3,10,3,836.2,5217.7,5207.3,0,28,7,15,1.72,39.608333,-104.041555,61.9,8.1
12:50:06,3,10,3,836.1,5219.1,5205.9,0,28,8,15,1.72,39.60833,-104.041555,61.9,8.1
12:50:07,3,10,3,836.1,5220.2,5204.6,0,28,8,15,1.72,39.60833,-104.041555,61.9,8.1
12:50:08,3,10,3,836.1,5220.3,5203.1,0,28,8,15,1.72,39.60833,-104.041555,61.9,8.1
