Time,Fix,Sats,Flags,Baro Pressure,Baro altitude,GPS altitude,Speed (MPH),Heading,Horiz accuracy,Vertical accuracy,pDOP,Latitude,Longitude,Int Temp F,battery v
12:38:37,3,6,1,841.5,5049,5233,0,0,9,24,2.29,39.608272,-104.041581,45.3,8.1
12:38:38,3,6,1,841.5,5047,5234,0,0,9,25,2.29,39.608272,-104.041581,45.4,8.3
12:38:39,3,6,1,841.4,5050,5236,0,0,9,25,2.29,39.608269,-104.041581,45.4,8.3
12:38:42,3,6,1,841.5,5049,5235,0,0,9,25,2.29,39.608266,-104.041581,45.5,8.3
12:38:43,3,6,1,841.5,5047,5237,0,0,9,25,2.29,39.608262,-104.041587,45.6,8.3
12:38:44,3,6,1,841.5,5048,5238,0,0,9,26,2.29,39.608262,-104.041581,45.7,8.3
12:38:45,3,6,1,841.5,5048,5239,0,0,9,26,2.29,39.608262,-104.041581,45.7,8.3
12:38:46,3,6,1,841.5,5047,5241,0,0,9,26,2.29,39.608259,-104.041581,45.8,8.3
12:38:47,3,6,1,841.5,5049,5242,0,0,9,26,2.29,39.608259,-104.041581,45.8,8.3
12:38:51,3,6,1,841.5,5049,5245,0,0,10,27,2.29,39.608253,-104.041581,46.0,8.3
12:38:52,3,6,1,841.5,5048,5246,0,0,10,28,2.29,39.608250,-104.041581,46.1,8.3
12:38:53,3,6,1,841.5,5048,5247,0,0,10,28,2.29,39.608250,-104.041581,46.1,8.3
12:38:54,3,6,1,841.6,5046,5247,0,0,10,28,2.29,39.608246,-104.041581,46.2,8.3
12:38:55,3,8,1,841.5,5048,5247,0,0,9,25,1.77,39.608246,-104.041574,46.3,8.3
12:38:56,3,8,1,841.3,5054,5248,0,0,9,23,1.77,39.608246,-104.041574,46.3,8.3
12:39:00,3,8,1,841.3,5053,5251,0,0,8,19,1.77,39.608243,-104.041574,46.5,8.1
12:39:01,3,8,1,841.3,5053,5252,0,0,8,18,1.77,39.608240,-104.041574,46.6,8.0
12:39:02,3,8,1,841.4,5052,5253,0,0,8,17,1.77,39.608240,-104.041574,46.7,8.0
12:39:03,3,8,1,841.3,5053,5254,0,0,8,17,1.77,39.608240,-104.041574,46.7,8.0
12:39:04,3,8,1,841.3,5053,5254,0,0,8,17,1.77,39.608237,-104.041574,46.8,8.0
12:39:05,3,8,1,841.4,5052,5254,0,0,8,16,1.77,39.608237,-104.041574,46.9,8.0
12:39:06,3,8,1,841.4,5051,5254,0,0,8,16,1.77,39.608237,-104.041574,46.9,8.0
12:39:07,3,8,1,841.3,5054,5254,0,0,8,16,1.77,39.608237,-104.041568,47.0,8.0
12:39:08,3,8,1,841.3,5053,5254,0,0,8,15,1.77,39.608237,-104.041568,47.1,8.0
12:39:09,3,8,1,841.4,5053,5254,0,0,8,15,1.77,39.608237,-104.041568,47.1,8.0
12:39:10,3,8,1,841.4,5051,5254,0,0,8,15,1.77,39.608237,-104.041568,47.2,8.0
12:39:11,3,8,1,841.4,5053,5254,0,0,7,14,1.77,39.608237,-104.041568,47.3,8.0
12:39:12,3,8,1,841.4,5051,5255,0,0,7,14,1.77,39.608237,-104.041568,47.3,8.0
12:39:13,3,8,1,841.3,5053,5255,0,0,7,14,1.77,39.608237,-104.041568,47.4,8.0
12:39:14,3,8,1,841.4,5052,5255,0,0,7,14,1.77,39.608237,-104.041568,47.4,8.0
12:39:15,3,8,1,841.4,5052,5255,0,0,7,14,1.77,39.608237,-104.041568,47.5,8.0
12:39:16,3,8,1,841.4,5052,5255,0,0,7,14,1.77,39.608237,-104.041568,47.6,8.0
12:39:17,3,8,1,841.4,5052,5255,0,0,7,13,1.77,39.608237,-104.041568,47.6,8.0
12:39:18,3,8,1,841.3,5053,5255,0,0,7,13,1.77,39.608237,-104.041568,47.7,8.0
12:39:19,3,8,1,841.3,5053,5255,0,0,7,13,1.77,39.608237,-104.041562,47.8,8.0
12:39:20,3,8,1,841.4,5051,5255,0,0,7,13,1.77,39.608237,-104.041562,47.8,8.0
12:39:21,3,8,1,841.6,5046,5255,0,0,7,13,1.77,39.608237,-104.041562,47.9,8.0
12:39:22,3,8,1,841.4,5050,5255,0,0,7,13,1.77,39.608237,-104.041562,47.9,8.1
12:39:23,3,8,1,841.4,5051,5255,0,0,7,13,1.77,39.608237,-104.041562,47.9,8.1
12:39:24,3,8,1,841.3,5053,5255,0,0,7,12,1.77,39.608237,-104.041562,48.0,8.0
12:39:25,3,8,1,841.4,5052,5255,0,0,7,12,1.77,39.608237,-104.041568,48.1,8.0
12:39:26,3,8,1,841.4,5051,5255,0,0,7,12,1.77,39.608237,-104.041568,48.1,8.0
12:39:27,3,8,1,841.4,5053,5255,0,0,7,12,1.77,39.608237,-104.041568,48.2,8.0
12:39:28,3,8,1,841.6,5046,5254,0,0,7,12,1.77,39.608237,-104.041568,48.3,8.0
12:39:29,3,8,1,841.4,5050,5254,0,0,7,12,1.77,39.608237,-104.041568,48.3,8.0
12:39:30,3,8,1,841.4,5052,5254,0,0,7,12,1.77,39.608237,-104.041568,48.3,8.2
12:39:31,3,8,1,841.5,5046,5254,0,0,7,12,1.77,39.608237,-104.041568,48.4,8.2
12:39:32,3,8,1,841.6,5045,5253,0,0,7,12,1.77,39.608237,-104.041568,48.5,8.1
12:39:33,3,8,1,841.5,5046,5253,0,0,7,12,1.77,39.608237,-104.041568,48.5,8.1
12:39:34,3,8,1,841.6,5044,5253,0,0,7,12,1.77,39.608237,-104.041568,48.6,8.3
12:39:35,3,8,1,841.6,5045,5253,0,0,7,12,1.77,39.608237,-104.041568,48.6,8.3
12:39:36,3,8,1,841.6,5043,5253,0,0,7,12,1.77,39.608237,-104.041568,48.6,8.3
12:39:37,3,8,1,841.6,5045,5253,0,0,7,11,1.77,39.608237,-104.041562,48.7,8.3
12:39:38,3,8,1,841.6,5046,5253,0,0,7,11,1.77,39.608237,-104.041562,48.7,8.3
12:39:39,3,8,1,841.6,5045,5253,0,0,7,11,1.77,39.608237,-104.041562,48.8,8.3
12:39:40,3,8,1,841.6,5046,5253,0,0,7,11,1.77,39.608237,-104.041562,48.8,8.3
12:39:41,3,8,1,841.6,5045,5252,0,0,7,11,1.77,39.608237,-104.041562,48.8,8.3
12:39:42,3,8,1,841.7,5043,5252,0,0,7,11,1.77,39.60824,-104.041562,48.9,8.3
12:39:43,3,8,1,841.6,5043,5252,0,0,7,11,1.77,39.60824,-104.041562,48.9,8.3
