Time,Fix,Sats,Flags,Baro_Pressure,Baro_altitude,GPS altitude,Speed (MPH),Heading,Horiz_accuracy,Vertical_accuracy,pDOP,Latitude,Longitude,Int_Temp F,battery_v
13:13:37,3,12,3,847,4873,5234,0,233,5,6,1.56,39.607872,-104.041370,85,7.9
13:13:38,3,12,3,847,4874,5234,0,233,5,6,1.56,39.607872,-104.041370,85,7.9
13:13:39,3,12,3,847,4873,5234,0,233,5,6,1.56,39.607872,-104.041370,85,7.9
13:13:40,3,12,3,847,4873,5234,0,233,5,6,1.56,39.607872,-104.041376,85,7.9
13:13:41,3,12,3,847,4873,5233,0,233,5,6,1.56,39.607872,-104.041376,85,7.9
13:13:42,3,12,3,847,4873,5233,0,233,5,6,1.56,39.607872,-104.041376,85,7.9
13:13:43,3,11,3,847,4874,5232,0,233,5,6,1.62,39.607872,-104.041376,85,7.9
13:13:44,3,11,3,847,4874,5232,0,233,5,6,1.62,39.607872,-104.041376,85,7.9
13:13:45,3,11,3,847,4874,5232,0,233,5,6,1.62,39.607875,-104.041376,85,7.9
13:13:46,3,11,3,847,4873,5232,0,233,5,6,1.62,39.607875,-104.041376,85,7.9
13:13:47,3,12,3,847,4872,5232,0,233,5,6,1.56,39.607875,-104.041376,85,7.9
13:13:48,3,12,3,847,4872,5231,0,233,5,6,1.56,39.607875,-104.041376,85,7.9
13:13:49,3,12,3,847,4873,5232,0,233,5,6,1.56,39.607875,-104.041376,85,7.9
13:13:50,3,12,3,847,4873,5231,0,233,5,5,1.56,39.607875,-104.041376,85,7.9
13:13:51,3,12,3,847,4873,5231,0,233,5,5,1.56,39.607878,-104.041370,85,7.9
13:13:52,3,12,3,847,4873,5231,0,233,5,5,1.56,39.607878,-104.041370,85,7.9
13:13:53,3,12,3,847,4873,5231,0,233,5,5,1.56,39.607878,-104.041370,85,7.9
13:13:54,3,12,3,847,4873,5232,0,233,5,5,1.56,39.607878,-104.041370,85,7.9
13:13:55,3,12,3,847,4878,5232,0,233,5,5,1.56,39.607878,-104.041370,85,7.9
13:13:56,3,12,3,847,4874,5231,0,233,5,5,1.56,39.607878,-104.041370,85,7.7
13:13:57,3,12,3,847,4873,5231,0,233,4,5,1.56,39.607878,-104.041370,85,7.7
13:13:58,3,12,3,847,4873,5231,0,233,4,5,1.56,39.607878,-104.041376,85,7.8
13:13:59,3,12,3,847,4874,5231,0,233,4,5,1.56,39.607878,-104.041376,85,7.8
13:14:00,3,12,3,847,4875,5231,0,233,4,5,1.56,39.607875,-104.041376,85,7.9
13:14:01,3,12,3,847,4879,5232,0,233,4,5,1.56,39.607875,-104.041376,85,7.9
13:14:02,3,11,3,847,4876,5231,0,233,4,5,1.76,39.607872,-104.041376,85,7.7
13:14:03,3,11,3,847,4877,5231,0,233,4,5,1.76,39.607872,-104.041376,85,7.7
13:14:04,3,11,3,847,4879,5231,0,233,4,5,1.76,39.607872,-104.041382,85,7.7
13:14:05,3,12,3,847,4873,5231,0,233,4,5,1.56,39.607869,-104.041382,85,7.7
13:14:06,3,12,3,847,4879,5229,0,233,4,5,1.56,39.607869,-104.041382,85,7.7
13:14:07,3,11,3,847,4879,5228,0,233,4,5,1.62,39.607866,-104.041382,85,7.7
13:14:08,3,12,3,847,4878,5227,0,233,4,5,1.56,39.607866,-104.041382,85,7.6
13:14:09,3,12,3,847,4878,5226,0,233,4,5,1.55,39.607862,-104.041382,85,7.6
13:14:10,3,12,3,847,4878,5225,0,233,4,5,1.55,39.607859,-104.041382,85,7.5
13:14:11,3,12,3,847,4879,5224,0,233,4,4,1.55,39.607859,-104.041389,85,7.5
13:14:12,3,12,3,847,4879,5223,0,233,4,4,1.55,39.607859,-104.041389,85,7.5
13:14:13,3,12,3,847,4879,5222,0,233,4,4,1.55,39.607856,-104.041389,85,7.5
13:14:14,3,12,3,847,4879,5222,0,233,4,4,1.55,39.607856,-104.041389,85,7.5
