Time,Fix,Sats,Flags,Baro Pressure,Baro altitude,GPS altitude,Speed (MPH),Heading,Horiz accuracy,Vertical accuracy,pDOP,Latitude,Longitude,Int_Temp F,battery_v
12:59:44,3,11,1,850.9,4752,5231,0,0,9,15,1.32,39.608083,-104.042246,65.7,7.7
12:59:45,3,11,1,851.0,4748,5231,0,0,9,15,1.32,39.608083,-104.042246,65.8,7.8
12:59:46,3,11,1,850.9,4750,5231,0,0,9,14,1.32,39.608083,-104.042246,65.8,7.8
12:59:47,3,11,1,850.9,4752,5231,0,0,9,14,1.32,39.608083,-104.042246,65.8,7.9
12:59:48,3,11,1,850.8,4753,5230,0,0,9,14,1.32,39.608083,-104.042246,65.8,7.9
12:59:49,3,11,1,850.8,4753,5230,0,0,8,14,1.32,39.608083,-104.042246,65.8,7.7
12:59:50,3,11,1,850.8,4754,5231,0,0,8,13,1.32,39.608083,-104.042246,65.8,7.7
12:59:51,3,11,1,850.9,4752,5231,0,0,8,13,1.32,39.608083,-104.042246,65.8,7.7
12:59:52,3,11,1,850.9,4752,5231,0,0,8,13,1.32,39.608083,-104.042246,65.9,7.7
12:59:53,3,11,1,850.9,4752,5231,0,0,8,13,1.32,39.608083,-104.042246,65.9,7.7
12:59:54,3,11,1,850.8,4753,5231,0,0,8,13,1.33,39.608083,-104.042246,65.9,7.7
12:59:55,3,11,1,850.9,4752,5231,0,0,8,13,1.33,39.608083,-104.042253,65.9,7.7
12:59:56,3,11,1,850.8,4753,5230,0,0,8,12,1.33,39.608083,-104.042253,65.9,7.7
12:59:57,3,11,1,850.8,4753,5230,0,0,8,12,1.33,39.608083,-104.042253,66.0,7.7
12:59:58,3,12,1,850.9,4751,5231,0,0,8,12,1.22,39.608083,-104.042253,66.0,7.7
12:59:59,3,12,1,850.9,4752,5231,0,0,8,12,1.22,39.608083,-104.042253,66.0,7.7
13:00:02,3,12,1,850.8,4753,5231,0,0,8,12,1.22,39.608083,-104.042253,66.0,7.7
13:00:03,3,12,1,850.8,4753,5231,0,0,7,12,1.22,39.608083,-104.042253,66.1,7.6
13:00:04,3,12,1,850.8,4753,5230,0,0,7,12,1.22,39.608083,-104.042253,66.1,7.6
13:00:05,3,11,1,850.8,4753,5230,0,0,7,11,1.33,39.608083,-104.042253,66.1,7.7
13:00:06,3,11,1,850.8,4753,5230,0,0,7,11,1.33,39.608083,-104.042253,66.1,7.7
13:00:07,3,11,1,850.8,4753,5231,0,0,7,11,1.33,39.608083,-104.042253,66.2,7.7
13:00:08,3,11,1,851.0,4748,5231,0,0,7,11,1.33,39.608083,-104.042253,66.2,7.7
13:00:09,3,11,1,850.9,4751,5231,0,0,7,11,1.33,39.608083,-104.042253,66.2,7.7
