Time (UTC),Sat Fix,# Sats,Baro Pressure mb,Baro altitude Ft,GPS altitude Ft,Speed (MPH),Heading Degrees, Latitude,Longitude,Ext Temp F,Int Temp F,Battery v,Release v
12:32:01,3D,4,848,4843,5239,0,0,39.608333,-104.0415,36,43,3.6,0
12:32:31,3D,4,848,4843,5239,0,0,39.608333,-104.0415,36,43,3.6,0
12:33:01,3D,10,848,4848,5245,0,0,39.608333,-104.0415,36,44,3.6,0
12:33:31,3D,10,847.8,4848,5239,0,0,39.608333,-104.0415,36,44,3.6,0
12:34:01,Diff,11,847.8,4850,5242,0,0,39.608333,-104.0415,36,45,3.6,0
12:34:31,Diff,11,847.8,4850,5233,0,0,39.608333,-104.0415,36,45,3.6,0
12:35:01,Diff,11,847.8,4852,5233,0,0,39.608333,-104.0415,36,46,3.6,0
12:35:31,Diff,11,847.7,4852,5237,0,0,39.608333,-104.0415,36,46,3.6,0
12:36:01,Diff,12,847.7,4854,5232,0,0,39.608333,-104.0415,36,47,3.5,0
12:36:31,Diff,12,847.7,4854,5224,0,0,39.608333,-104.0415,36,47,3.5,0
12:37:01,Diff,11,847.9,4854,5229,0,0,39.608333,-104.0415,36,48,3.6,0
12:38:31,Diff,11,847.7,4849,5234,0,0,39.608333,-104.0415,37,48,3.6,0
12:39:31,Diff,10,847.7,4847,5238,0,0,39.608333,-104.0415,36,48,3.6,0
12:40:31,Diff,11,847.8,4852,5227,0,0,39.608333,-104.0415,36,49,3.6,0
12:41:01,Diff,11,847.8,4850,5227,0,0,39.608333,-104.0415,36,49,3.6,0
12:41:31,Diff,11,847.8,4850,5230,0,0,39.608333,-104.0415,36,49,3.6,0
12:42:31,Diff,12,847.8,4852,5230,0,0,39.608333,-104.0415,36,49,3.6,0
12:43:31,Diff,12,847.8,4852,5228,0,0,39.608333,-104.0415,36,49,3.6,0
12:44:01,Diff,12,847.8,4852,5225,0,0,39.608333,-104.0415,36,49,3.6,0
12:44:31,Diff,12,847.8,4852,5228,0,0,39.608333,-104.0415,36,49,3.6,0
12:45:01,Diff,12,847.8,4854,5231,0,0,39.608333,-104.0415,36,50,3.6,0
12:45:31,Diff,12,847.6,4854,5229,0,293,39.608333,-104.0415,36,50,3.6,0
12:46:01,Diff,12,847.7,4854,5224,2,248,39.608333,-104.041833,36,50,3.6,0
12:46:31,Diff,12,847.6,4854,5216,1,247,39.608167,-104.042,36,50,3.6,0
12:47:01,Diff,14,847.8,4852,5225,0,279,39.608167,-104.042167,35,50,3.6,0
12:47:31,Diff,14,847.8,4852,5225,0,279,39.608167,-104.042167,35,50,3.6,0
12:48:01,Diff,13,847.6,4853,5234,0,279,39.608167,-104.042167,34,51,3.6,0
12:48:31,Diff,13,847.6,4853,5223,0,279,39.608167,-104.042167,34,51,3.6,0
12:49:31,Diff,13,847.6,4854,5232,0,128,39.608,-104.042167,34,51,3.6,0
12:50:01,Diff,13,847.7,4855,5216,0,128,39.608,-104.042167,34,51,3.6,0
12:50:31,Diff,13,847.6,4855,5215,0,128,39.608,-104.042167,34,51,3.6,0
12:51:01,Diff,13,847.8,4855,5213,0,151,39.608,-104.042167,34,51,3.6,0
12:51:31,Diff,13,847.8,4855,5221,0,151,39.608,-104.042167,34,51,3.6,0
12:52:01,Diff,14,847.8,4854,5220,0,151,39.608,-104.042167,33,52,3.6,0
12:52:31,Diff,14,847.7,4854,5220,0,151,39.608,-104.042167,33,52,3.6,0
12:53:01,Diff,16,847.6,4854,5222,0,151,39.608,-104.042167,33,52,3.6,0
12:53:31,Diff,16,847.6,4854,5215,0,151,39.608,-104.042167,33,52,3.6,0
12:54:01,Diff,14,847.9,4854,5217,0,151,39.608,-104.042167,33,52,3.6,0
12:54:31,Diff,14,847.7,4854,5225,0,151,39.608,-104.042167,33,52,3.6,0
12:55:31,Diff,14,847.5,4854,5233,0,348,39.608,-104.042167,33,52,3.6,0
12:56:01,Diff,15,847.7,4852,5227,0,348,39.608,-104.042167,34,53,3.6,0
12:56:31,Diff,15,847.7,4852,5228,0,348,39.608,-104.042167,34,53,3.6,0
12:57:31,Diff,16,847.8,4858,5216,0,355,39.608,-104.042167,34,53,3.6,0
12:58:01,Diff,16,847.7,4858,5218,0,355,39.608,-104.042167,34,53,3.6,0
12:59:01,Diff,16,847.4,4858,5218,0,355,39.608,-104.042167,34,53,3.6,0
12:59:31,Diff,16,847.7,4858,5222,0,355,39.608,-104.042167,34,53,3.6,0
13:00:01,Diff,16,847.8,4853,5221,0,355,39.608,-104.042167,35,53,3.6,0
13:00:31,Diff,16,847.7,4853,5219,0,355,39.608,-104.042167,35,53,3.6,0
13:01:01,Diff,17,847.8,4856,5222,0,355,39.608,-104.042167,35,53,3.6,0
13:01:31,Diff,17,847.6,4856,5220,0,355,39.608,-104.042167,35,53,3.6,0
13:02:01,Diff,18,847.6,4854,5214,0,355,39.608,-104.042167,35,53,3.6,0
13:02:31,Diff,18,847.8,4854,5218,0,355,39.608,-104.042167,35,53,3.6,0
13:03:01,Diff,16,847.6,4854,5217,0,355,39.608,-104.042167,35,54,3.6,0
13:03:31,Diff,16,847.7,4854,5221,0,355,39.608,-104.042167,35,54,3.6,0
13:04:01,Diff,18,847.8,4855,5220,0,355,39.608,-104.042167,35,54,3.6,0
13:04:31,Diff,18,847.6,4855,5217,0,355,39.608,-104.042167,35,54,3.6,0
13:05:01,Diff,17,847.6,4856,5217,0,355,39.608,-104.042167,36,54,3.6,0
13:05:31,Diff,17,847.8,4856,5208,0,355,39.608,-104.042167,36,54,3.6,0
13:06:31,Diff,17,847.6,4853,5213,0,355,39.608,-104.042167,36,54,3.6,0
13:07:01,Diff,17,847.8,4853,5216,0,355,39.608,-104.042167,36,54,3.6,0
13:07:31,Diff,17,847.5,4853,5219,0,355,39.608,-104.042167,36,54,3.6,0
13:08:01,Diff,17,847.8,4855,5218,0,355,39.608,-104.042167,36,54,3.6,0
13:08:31,Diff,17,847.7,4855,5220,0,355,39.608,-104.042167,36,54,3.6,0
13:09:31,Diff,16,847.6,4854,5215,0,355,39.608,-104.042167,36,54,3.6,0
13:10:01,Diff,14,847.8,4854,5212,0,355,39.608,-104.042167,36,54,3.6,0
13:10:31,Diff,14,847.5,4854,5212,0,355,39.608,-104.042167,36,54,3.6,0
13:11:31,Diff,16,847.6,4855,5214,0,355,39.608,-104.042167,36,54,3.6,0
13:12:01,Diff,16,847.6,4855,5212,0,355,39.608,-104.042167,36,54,3.6,0
13:12:31,Diff,16,847.6,4855,5211,0,355,39.608,-104.042167,36,54,3.6,0
13:13:01,Diff,15,847.6,4856,5213,0,355,39.608,-104.042167,36,54,3.6,0
13:13:31,Diff,15,847.6,4856,5213,0,355,39.608,-104.042167,36,54,3.6,0
13:14:31,Diff,14,847.8,4856,5212,0,355,39.608,-104.042167,36,54,3.5,0
13:15:01,Diff,14,847.7,4856,5209,0,355,39.608,-104.042167,36,54,3.6,0
13:15:31,Diff,14,847.8,4856,5212,0,355,39.608,-104.042167,36,54,3.6,0
13:16:31,Diff,15,847.7,4855,5212,0,355,39.608,-104.042167,36,54,3.6,0
13:17:31,Diff,14,847.7,4856,5223,0,142,39.608,-104.042167,36,54,3.5,0
13:18:31,Diff,15,847.6,4858,5227,0,166,39.608,-104.042167,35,54,3.5,0
13:19:01,Diff,18,845.8,4906,5278,6,203,39.608,-104.042167,34,54,3.6,0
13:19:31,Diff,18,825.7,4906,5908,9,69,39.608333,-104.042333,34,54,3.6,0
13:20:01,Diff,15,805.4,6202,6550,12,15,39.609167,-104.041833,29,54,3.5,0
13:20:31,Diff,15,786.3,6202,7176,10,76,39.610167,-104.040833,29,54,3.5,0
13:21:01,Diff,17,769.7,7401,7740,4,62,39.6105,-104.040167,30,54,3.5,0
13:21:31,Diff,17,752.5,7401,8328,1,351,39.610667,-104.0405,30,54,3.5,0
13:22:01,Diff,18,736.4,8550,8892,3,168,39.610333,-104.040333,30,54,3.5,0
13:22:31,Diff,18,720.2,8550,9478,1,209,39.609167,-104.040167,30,54,3.5,0
13:23:01,Diff,15,703.6,9735,10075,20,157,39.608333,-104.039167,28,54,3.5,0
13:24:01,Diff,17,672.6,10899,11252,13,141,39.6045,-104.035333,26,54,3.5,0
13:24:31,Diff,17,657.9,10899,11820,25,137,39.6025,-104.032333,26,54,3.5,0
13:25:01,Diff,18,643.8,12014,12372,34,127,39.5995,-104.029167,22,54,3.5,0
13:25:31,Diff,18,628.4,12014,12988,31,162,39.596167,-104.0255,22,54,3.5,0
13:26:01,Diff,18,613.4,13241,13607,35,138,39.593167,-104.022167,16,53,3.5,0
13:26:31,Diff,18,598.3,13241,14224,28,130,39.59,-104.018833,16,53,3.5,0
13:27:01,Diff,17,583.6,14481,14852,33,147,39.586667,-104.0155,14,52,3.5,0
13:27:31,Diff,17,570,14481,15449,17,160,39.583833,-104.013167,14,52,3.5,0
13:28:01,Diff,16,555.9,15688,16068,33,145,39.581167,-104.011167,10,52,3.5,0
13:28:31,Diff,16,542.3,15688,16684,32,146,39.578167,-104.008167,10,52,3.5,0
13:29:01,Diff,17,529.2,16897,17286,41,152,39.575,-104.005333,7,51,3.5,0
13:29:31,Diff,17,516.8,16897,17883,34,155,39.571667,-104.0025,7,51,3.5,0
13:30:01,Diff,16,504,18085,18488,23,148,39.568,-103.9995,3,51,3.5,0
13:30:31,Diff,16,490.6,18085,19147,41,138,39.564,-103.996667,3,51,3.5,0
13:31:01,Diff,17,478.7,19334,19743,34,141,39.559833,-103.993,-2,50,3.5,0
13:31:31,Diff,17,466.3,19334,20366,39,143,39.555167,-103.989,-2,50,3.5,0
13:32:01,Diff,16,453.9,20590,21012,50,136,39.550833,-103.9845,-7,49,3.5,0
13:32:31,Diff,16,442.3,20590,21639,57,138,39.546167,-103.9795,-7,49,3.5,0
13:33:01,Diff,17,430.7,21839,22268,47,138,39.541333,-103.974333,-11,48,3.5,0
13:33:31,Diff,17,419.5,21839,22881,52,146,39.536167,-103.969167,-11,48,3.5,0
13:34:01,Diff,16,407.3,23140,23561,74,139,39.531167,-103.962667,-16,47,3.5,0
13:34:31,Diff,16,396.2,23140,24225,67,137,39.525,-103.9565,-16,47,3.5,0
