Time,Fix,Sats,Flags,Baro Pressure,Baro altitude,GPS altitude,Speed (MPH),Heading,Horiz accuracy,Vertical accuracy,pDOP,Latitude,Longitude,Int Temp F,battery V
12:43:20,3,4,1,850.5,4764,5216,0,0,116,190,6.07,39.608288,-104.041619,44.0,7.5
12:43:21,3,4,1,850.5,4763,5205,0,0,99,123,6.07,39.608294,-104.041581,44.0,7.5
12:43:22,3,4,1,850.5,4763,5209,1,0,81,106,6.07,39.608291,-104.041594,44.1,7.5
12:43:23,3,4,1,850.5,4763,5206,1,0,71,97,6.07,39.608294,-104.041587,44.2,7.5
12:43:24,3,4,1,850.6,4762,5200,0,0,64,89,6.07,39.608298,-104.041574,44.2,7.5
12:43:25,3,4,1,850.5,4762,5199,0,0,60,84,6.07,39.608298,-104.041568,44.3,7.5
12:43:26,3,4,1,850.5,4763,5200,0,0,56,80,6.07,39.608298,-104.041568,44.3,7.5
12:43:27,3,5,1,850.5,4763,5205,1,0,49,68,3.28,39.608298,-104.041574,44.4,7.5
12:43:28,3,5,1,850.5,4763,5205,1,0,47,63,3.28,39.608298,-104.041574,44.5,7.5
12:43:29,3,5,1,850.6,4761,5207,0,0,45,60,3.28,39.608298,-104.041574,44.5,7.5
12:43:30,3,5,1,850.6,4762,5209,0,0,43,57,3.28,39.608294,-104.041574,44.6,7.5
12:43:31,3,5,1,850.6,4761,5213,2,30,42,55,3.28,39.608291,-104.041581,44.7,7.5
12:43:32,3,5,1,850.6,4761,5214,1,30,41,53,3.28,39.608288,-104.041587,44.7,7.5
12:43:33,3,7,1,850.6,4759,5218,0,30,37,45,1.9,39.608288,-104.041587,44.8,7.5
12:43:34,3,7,1,850.6,4762,5223,1,30,34,41,1.9,39.608285,-104.041600,44.8,7.6
12:43:35,3,7,1,850.6,4761,5227,1,30,32,37,1.9,39.608282,-104.041600,44.9,7.6
12:43:36,3,7,1,850.6,4761,5232,0,30,30,35,1.9,39.608282,-104.041606,44.9,7.5
12:43:37,3,7,1,850.6,4762,5235,1,30,28,32,1.9,39.608278,-104.041606,45.0,7.5
12:43:38,3,7,1,850.6,4761,5237,0,30,27,30,1.9,39.608282,-104.041606,45.0,7.5
12:43:39,3,7,1,850.6,4761,5238,0,30,26,29,1.9,39.608282,-104.041606,45.1,7.5
12:43:40,3,7,1,850.7,4759,5240,1,30,25,28,1.9,39.608282,-104.041606,45.2,7.5
12:43:41,3,7,1,850.6,4761,5241,0,30,23,26,1.9,39.608285,-104.041613,45.2,7.5
12:43:42,3,7,1,850.6,4759,5241,1,30,23,25,1.9,39.608285,-104.041613,45.3,7.6
12:43:43,3,7,1,850.6,4759,5241,0,30,22,24,1.9,39.608288,-104.041613,45.3,7.6
